,FLAG,Avg min between sent tnx,Avg min between received tnx,Time Diff between first and last (Mins),Sent tnx,Received Tnx,Number of Created Contracts,max value received ,avg val received,avg val sent,total Ether sent,total ether balance, ERC20 total Ether received, ERC20 total ether sent, ERC20 total Ether sent contract, ERC20 uniq sent addr, ERC20 uniq rec token name, ERC20 most sent token type, ERC20_most_rec_token_type
13,Non - Fraud,165.27,0.7,331.93,2,2,0,96.191037,50.5,50.499487,100.9989738,0.001026218,0.0,0.0,0.0,0.0,0.0,4,3
14,Non - Fraud,9947.88,10.98,39813.5,4,2,0,7.112437,3.606219,1.802463,7.20985064,0.00258657,0.53575432,7.57e-07,0.0,1.0,2.0,173,309
15,Non - Fraud,6729.81,10393.43,44639.9,2,3,0,4.912948,1.667887,2.501389,5.002778299999999,0.000882,0.0,0.0,0.0,0.0,0.0,4,3
16,Non - Fraud,40824.57,0.0,163298.27,4,0,0,0.0,0.0,0.0017809999999999,0.00712304,-0.00712304,5.95e-10,5.95e-10,0.0,1.0,1.0,246,383
17,Non - Fraud,2697.97,63932.97,927437.32,12,14,0,3.0,1.066953,1.583543,19.00251657,-4.0651751360000015,9500.0,0.0,0.0,0.0,1.0,185,30
18,Non - Fraud,3.79,19.85,94.55,4,4,0,10.0,7.5,7.498944,29.99577701,0.004222986,0.0,0.0,0.0,0.0,0.0,4,3
19,Non - Fraud,0.0,0.0,4.57,1,1,0,3.0,3.0,2.999114,2.9991143,0.0008857,0.0,0.0,0.0,0.0,0.0,4,3
20,Non - Fraud,14.07,1784.58,7194.6,4,4,0,0.454386,0.26185,0.260279,1.041114628,0.006285822,0.0,0.0,0.0,0.0,0.0,4,3
21,Fraud,0.0,118.22,19382.85,1,29,0,3.0,1.042543,30.232895000000006,30.23289543,0.0008609999999999,1.337,0.0,0.0,0.0,1.0,1,74
22,Non - Fraud,0.0,1874.16,226773.38,0,121,1,1.376616,0.285556,0.0,0.0,34.55230473,1.3436755930000002,0.0,0.0,0.0,2.0,185,309
23,Non - Fraud,15250.84,24481.47,235183.42,9,4,0,21.592554,9.957013,5.863,52.767,-12.9389463,478.7712725,0.0,0.0,0.0,6.0,185,119
24,Non - Fraud,21648.06,39105.85,858238.48,27,7,0,40.41,12.091128,5.553694,149.9497336,-65.31183972,17200358.34,17200393.2,0.0,3.0,13.0,150,244
25,Non - Fraud,161.31,0.3,323.22,2,2,0,86.581227,50.5,50.499508,100.9990158,0.000984218,0.0,0.0,0.0,0.0,0.0,4,3
26,Non - Fraud,0.0,2060.11,319316.93,0,155,1,25.0,0.853564,0.0,0.0,132.3024673,22.53808374,0.0,0.0,0.0,5.0,185,154
27,Non - Fraud,4.85,1934.32,56172.72,16,29,0,61.52035,14.173466,25.688867,411.0218759,0.0086299369999999,0.0,0.0,0.0,0.0,0.0,4,3
28,Non - Fraud,86411.4,135707.2,876294.22,7,2,0,0.097988,0.088994,0.021898,0.153289345,0.024698885,14721.3808,272.87,0.0,3.0,13.0,123,140
29,Non - Fraud,0.0,2087.15,319334.13,0,153,1,1.888231,0.700242,0.0,0.0,107.1370634,15.44388134,0.0,0.0,0.0,4.0,185,119
30,Non - Fraud,2.11,0.0,6.32,3,2,0,1631.902927,1000.5,666.999528,2000.998585,0.001414909,0.0,0.0,0.0,0.0,0.0,4,3
31,Fraud,0.0,494.21,58316.73,0,118,1,1.010469,0.033247,0.0,0.0,3.923124188,0.0,100.0,0.0,1.0,0.0,294,1
32,Non - Fraud,56.72,68.58,683299.38,210,9790,0,29.251548,1.35839,61.64786899999999,12946.05249,352.58991569999995,1027359.177,100.0,0.0,1.0,35.0,294,432
33,Non - Fraud,163.68,0.0,327.37,2,2,0,66.372672,50.5,50.499487,100.9989738,0.001026218,0.0,0.0,0.0,0.0,0.0,4,3
34,Non - Fraud,105.38,0.63,317.4,3,2,0,55.556425,50.5,33.66617100000001,100.9985118,0.001488218,0.0,0.0,0.0,0.0,0.0,4,3
35,Fraud,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,13.37,0.0,0.0,0.0,1.0,1,74
36,Non - Fraud,22.14,0.0,66.43,3,1,0,101.0,101.0,33.666149,100.998446,0.0015539999999999,0.0,0.0,0.0,0.0,0.0,4,3
37,Non - Fraud,9185.8,9940.57,653813.17,3,63,0,1.000371,0.205062,0.740417,2.221252215,10.69765642,2302.249966,0.0,0.0,0.0,14.0,185,402
38,Non - Fraud,0.0,2668.2,200114.78,0,75,1,1.009889,0.723395,0.0,0.0,54.2545975,6.071674657999999,0.0,0.0,0.0,3.0,185,119
39,Non - Fraud,425.25,5992.31,513829.73,81,80,0,4.21,0.192357,0.189223,15.32708748,0.06149939,0.0,0.0,0.0,0.0,0.0,4,3
40,Non - Fraud,14106.66,3742.82,540061.9,32,24,0,1499.9995800000004,77.125266,102.312148,3273.988723,-1422.982347,139827.7923,133086.5,0.0,4.0,26.0,251,248
41,Non - Fraud,18509.58,12261.06,454603.2,8,25,0,6.335003,1.030983,3.4285730000000005,27.42858237,-1.6540158669999998,2.0685209980000003,0.0,0.0,0.0,1.0,185,257
42,Non - Fraud,17.71,0.0,53.12,3,1,0,101.0,101.0,33.666149,100.998446,0.0015539999999999,0.0,0.0,0.0,0.0,0.0,4,3
43,Non - Fraud,5418.91,39416.94,1007099.13,4,25,0,0.099702,0.09351,0.58405,2.336201936,0.00156,0.267450246,0.067440252,0.0,1.0,2.0,190,119
44,Non - Fraud,159.64,0.39,320.07,2,2,0,57.549485,50.5,50.499508,100.9990158,0.000984218,0.0,0.0,0.0,0.0,0.0,4,3
45,Non - Fraud,11131.27,3739.28,305322.35,15,37,0,6.538367,0.5194979999999999,1.28101,19.215153,0.006280327,823.5539967999998,3.3600000000000004e-09,0.0,1.0,7.0,80,340
46,Non - Fraud,2.49,0.04,10.05,4,2,0,1484.69149,1000.5,500.249424,2000.997698,0.002302304,0.0,0.0,0.0,0.0,0.0,4,3
47,Non - Fraud,156.46,0.0,312.92,2,1,0,101.0,101.0,50.499508,100.9990158,0.000984218,0.0,0.0,0.0,0.0,0.0,4,3
48,Non - Fraud,0.0,0.0,1.45,1,1,0,0.470629,0.470629,0.470158,0.470157784,0.000471636,0.0,0.0,0.0,0.0,0.0,4,3
49,Non - Fraud,17.44,1377.4,732307.45,526,525,0,3.865615,0.205252,0.204205,107.4117819,0.345773625,0.01,0.0,0.0,0.0,2.0,185,187
50,Non - Fraud,3215.07,23810.26,549964.62,97,10,0,0.995,0.58922,0.144417,14.008459099999998,-8.11626231,26110.93756,523.8220001,0.0,3.0,22.0,242,234
51,Non - Fraud,7986.27,181.76,129052.67,16,7,0,88.60354,22.171077,9.698154,155.17047140000005,0.02706864,72762.95402,72754.25402000001,0.0,2.0,6.0,251,390
52,Non - Fraud,16053.95,7860.88,799707.9,41,18,0,6.999528,2.0553060000000003,1.148183,47.07549962,-10.07998397,6750726.325,6530859.54,0.0,11.0,29.0,263,400
53,Non - Fraud,2351.93,14639.74,106653.9,8,6,0,2.621782,0.896366,0.6717920000000001,5.374336586,0.003859464,5.55289363,5.55289363,0.0,1.0,1.0,123,202
54,Non - Fraud,17.34,0.18,69.72,4,2,0,83.999224,50.5,25.249475,100.9979,0.0021,0.0,0.0,0.0,0.0,0.0,4,3
55,Fraud,168.18,44.15,645.43,2,7,0,19.99,4.085714,14.299139000000002,28.598278000000004,0.0017219999999999,1e-12,0.0,0.0,0.0,1.0,-1,-1
56,Non - Fraud,3.8,0.0,11.4,3,2,0,1575.4893470000004,1000.5,666.999528,2000.998585,0.001414909,0.0,0.0,0.0,0.0,0.0,4,3
57,Non - Fraud,4896.5,0.0,14689.5,3,1,0,2.495,2.495,1.930014,5.790042169,-3.295042169,0.0,0.0,0.0,0.0,0.0,4,3
58,Non - Fraud,157.6,0.0,315.2,2,1,0,101.0,101.0,50.499508,100.9990158,0.000984218,0.0,0.0,0.0,0.0,0.0,4,3
59,Non - Fraud,3.64,13721.37,109800.07,8,8,0,1.905923,0.977648,0.976976,7.815810462999999,0.005376007,0.0,0.0,0.0,0.0,0.0,4,3
60,Non - Fraud,240.2,190357.37,381675.52,4,2,0,0.035866,0.022933,0.008716,0.03486571,0.011,659.8780759,40.0,0.0,1.0,9.0,14,424
61,Non - Fraud,160.63,1.46,324.18,2,2,0,88.647634,50.5,50.499508,100.9990158,0.000984218,0.0,0.0,0.0,0.0,0.0,4,3
62,Non - Fraud,0.0,13475.58,323413.82,0,24,1,5.156287,0.7392,0.0,0.0,17.74079603,0.0,0.0,0.0,0.0,0.0,4,3
63,Non - Fraud,0.0,2731.94,636542.63,0,233,1,3.468113,0.839924,0.0,0.0,195.7023455,462.1674584,0.0,0.0,0.0,6.0,185,119
64,Non - Fraud,0.0,57.12,492515.08,0,8622,1,50.1,0.073171,0.0,0.0,630.883331,3740.299211,0.0,0.0,0.0,8.0,185,119
65,Non - Fraud,480.48,184793.34,926369.08,5,5,0,22.277831,6.393652,6.393244999999999,31.96622275,0.0020373,1999.45,1999.45,0.0,1.0,1.0,251,390
66,Non - Fraud,0.0,0.0,3.35,1,1,0,2.9875,2.9875,2.987028,2.987028364,0.000471636,0.0,0.0,0.0,0.0,0.0,4,3
67,Non - Fraud,0.0,20160.91,60482.72,0,3,1,99.25,33.416667,0.0,0.0,100.25,0.0,0.0,0.0,0.0,0.0,4,3
68,Non - Fraud,0.0,0.0,1.55,1,1,0,0.202113,0.202113,0.201641,0.201640924,0.000471636,0.0,0.0,0.0,0.0,0.0,4,3
69,Non - Fraud,0.0,2501.13,210095.17,0,84,1,0.744375,0.303542,0.0,0.0,25.49754898,0.438565909,0.0,0.0,0.0,1.0,185,309
70,Non - Fraud,14.78,0.0,44.35,3,1,0,101.0,101.0,33.666149,100.998446,0.0015539999999999,0.0,0.0,0.0,0.0,0.0,4,3
71,Non - Fraud,161.5,0.0,323.0,2,1,0,101.0,101.0,50.499508,100.9990158,0.000984218,0.0,0.0,0.0,0.0,0.0,4,3
72,Non - Fraud,161.06,0.0,322.12,2,1,0,101.0,101.0,50.499508,100.9990158,0.000984218,0.0,0.0,0.0,0.0,0.0,4,3
73,Non - Fraud,20512.33,15878.28,307003.17,8,9,0,11.4568,4.186721,4.709272,37.67417451,0.006316957,651.0395857000002,0.27326037,0.0,2.0,4.0,267,119
74,Non - Fraud,6030.21,12579.59,68408.98,3,4,0,0.495,0.139894,0.0,0.0,0.559574225,243.2059775,178630.51,0.0,1.0,7.0,280,257
75,Fraud,0.0,0.0,31.9,0,1,1,0.0069999999999999,0.0069999999999999,0.0,0.0,0.0069999999999999,1e-12,0.0,0.0,0.0,1.0,-1,-1
76,Non - Fraud,3623.47,1531.17,942777.08,223,88,0,17.442999999999998,2.133107,0.821392,183.1705,4.542900882,6477661.302999998,2854526.79,0.0,36.0,86.0,39,334
77,Non - Fraud,0.0,0.0,5.95,1,1,0,0.9925,0.9925,0.992028,0.992028364,0.000471636,0.0,0.0,0.0,0.0,0.0,4,3
78,Non - Fraud,13726.03,39025.39,749283.42,29,9,0,5.21477,1.616576,0.500788,14.522862,0.02632,305973.9048,20090.0,0.0,2.0,49.0,39,-1
79,Non - Fraud,0.0,6237.1,274432.57,0,44,1,1.172264,0.958275,0.0,0.0,42.16410715,0.611814113,0.0,0.0,0.0,2.0,185,119
80,Non - Fraud,0.0,9538.59,133540.27,0,14,1,9.999467999999998,4.607553,0.0,0.0,64.50574849,1.025023543,0.0,0.0,0.0,1.0,185,309
81,Non - Fraud,305.22,264489.01,794993.12,5,3,0,13.04,4.373273999999999,2.623575,13.11787617,0.00194664,0.0,0.0,0.0,0.0,0.0,4,3
82,Non - Fraud,5.55,35186.79,316731.08,9,9,0,102.0,32.077778,32.077039,288.6933523,0.006647738,0.0,0.0,0.0,0.0,0.0,4,3
83,Fraud,0.0,244.15,193558.82,1,16,0,1.0,0.5574,8.91,8.91,0.00840096,1.337,0.0,0.0,0.0,3.0,1,194
84,Fraud,0.0,89.42,349956.07,1,8,0,25.0,4.913176,39.304967,39.30496699,0.000441,1906.207303,0.0,0.0,0.0,7.0,1,436
85,Non - Fraud,108.18,0.0,324.53,3,2,0,92.143511,50.5,33.666157,100.9984698,0.001530218,0.0,0.0,0.0,0.0,0.0,4,3
86,Non - Fraud,264.4,3699.91,43343.02,10,11,0,1.003028,0.917457,1.008433,10.08432923,0.007694082,0.0,0.0,0.0,0.0,0.0,4,3
87,Non - Fraud,2038.93,20179.84,682665.12,28,31,0,337.0,55.263115,61.183656000000006,1713.14238,0.014169815,544.5384642000001,544.5384642000001,0.0,1.0,1.0,98,154
88,Non - Fraud,0.0,391.38,174945.87,0,447,1,0.6981310000000001,0.103574,0.0,0.0,46.29771489,1.130432816,0.0,0.0,0.0,1.0,185,309
89,Non - Fraud,0.0,1705.13,226782.15,0,133,1,4.997824,1.959164,0.0,0.0,260.5688718,6.140344117000001,0.0,0.0,0.0,2.0,185,119
90,Non - Fraud,0.0,1831.92,228989.5,0,125,1,1.096741,0.443997,0.0,0.0,55.49967797,0.780433467,0.0,0.0,0.0,1.0,185,309
91,Non - Fraud,0.0,2943.97,291453.22,0,99,1,1.0057969999999998,0.43786,0.0,0.0,43.34809988,1.447739961,0.0,0.0,0.0,2.0,185,309
92,Non - Fraud,3012.21,57684.54,358156.12,4,6,0,1.0,0.581422,0.856908,3.42763153,0.06090046,1121.363759,1120.0,0.0,1.0,4.0,17,259
93,Non - Fraud,13872.15,4636.31,513490.18,31,18,0,33.547009,9.802476,5.690919,176.4184764,0.026088184,56171.13261,56171.13251,0.0,1.0,12.0,98,154
94,Non - Fraud,23.4,4649.78,18692.75,4,4,0,9.855159,8.361989,8.360639,33.44255709,0.00539901,0.0,0.0,0.0,0.0,0.0,4,3
95,Non - Fraud,0.0,45351.53,226757.65,0,5,1,13.442145000000002,5.168865,0.0,0.0,25.84432272,0.435337444,0.0,0.0,0.0,2.0,185,309
96,Non - Fraud,3217.13,607.7,894325.9,271,37,0,269.656734,57.193675,7.1173600000000015,1928.804438,187.3615393,31266.03726,0.0,0.0,0.0,27.0,185,232
97,Non - Fraud,78085.1,6594.06,943282.57,6,72,0,0.5,0.088887,1.066231,6.397388553,0.002442,604.8774744,0.0,0.0,0.0,7.0,185,436
98,Non - Fraud,8110.89,5961.32,585846.35,59,18,0,1100.005,201.221732,66.320746,3912.924,-290.9328288000001,797358.3715,369001.0001,0.0,13.0,34.0,160,101
99,Fraud,0.0,1825.02,21562.25,1,5,0,1.0,0.706353,3.5315540000000003,3.53155436,0.000210005,6.66e-16,0.0,0.0,0.0,1.0,1,431
100,Non - Fraud,0.0,0.0,0.0,0,1,0,0.681968,0.681968,0.0,0.0,0.681968,167.071518,0.0,0.0,0.0,5.0,185,257
101,Non - Fraud,0.0,66.58,658941.33,0,9897,1,0.0,0.0,0.0,0.0,0.0,3935707.211,3935531.868,0.0,763.0,25.0,0,0
102,Non - Fraud,23.79,0.0,71.38,3,1,0,101.0,101.0,33.666149,100.998446,0.0015539999999999,0.0,0.0,0.0,0.0,0.0,4,3
103,Non - Fraud,119077.75,52788.43,885117.53,3,10,0,76.99937,8.658083999999999,28.846405,86.53921597,0.041622947,3691.13013,0.0,0.0,0.0,14.0,185,402
104,Non - Fraud,108.26,0.3,325.38,3,2,0,80.441098,50.5,33.666179,100.9985356,0.001464437,0.0,0.0,0.0,0.0,0.0,4,3
105,Non - Fraud,5.0,6878.01,34410.05,4,5,0,3.757717,1.277142,1.595156,6.38062334,0.00508702,0.0,0.0,0.0,0.0,0.0,4,3
106,Non - Fraud,0.0,4695.7,319307.7,0,68,1,1.001958,0.582851,0.0,0.0,39.63384266,1.332143817,0.0,0.0,0.0,2.0,185,309
107,Non - Fraud,0.0,0.0,2365.05,1,1,0,10.332986,10.332986,10.332366,10.33236615,0.00062,0.0,0.0,0.0,0.0,0.0,4,3
108,Non - Fraud,0.0,0.0,519.63,1,1,0,10.0,10.0,9.9978,9.9978,0.0022,0.0,0.0,0.0,0.0,0.0,4,3
109,Non - Fraud,63.77,0.53,319.92,5,2,0,65.049715,50.5,20.199501,100.9975038,0.002496218,0.0,0.0,0.0,0.0,0.0,4,3
110,Non - Fraud,110.37,0.82,332.73,3,2,0,64.149271,50.5,33.666165,100.9984936,0.001506437,0.0,0.0,0.0,0.0,0.0,4,3
111,Non - Fraud,0.0,0.0,568.07,1,1,0,4.5,4.5,4.49938,4.49938,0.00062,0.0,0.0,0.0,0.0,0.0,4,3
112,Non - Fraud,6900.67,7993.31,1188813.58,141,27,0,2428.901417,280.702992,56.31075300000001,7939.816234999998,-360.8354499,2091652.96,2080091.879,0.0,19.0,25.0,288,445
113,Non - Fraud,58146.8,68553.37,728981.33,9,3,0,9.854268,6.018223,1.97195,17.74754889,0.30711888,27431.74044,6447.690014,0.0,5.0,11.0,7,81
114,Non - Fraud,1572.64,3544.44,1194759.93,336,188,0,22943.79752,1288.712289,721.064972,242277.8306,0.079839968,51332.08413,0.0,0.0,0.0,30.0,185,174
115,Non - Fraud,363.07,4272.16,1113096.07,230,241,0,5.0,0.882273,0.92321,212.3383337,0.289525598,0.0,0.0,0.0,0.0,0.0,4,3
116,Fraud,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1e-12,0.0,0.0,0.0,1.0,-1,-1
117,Non - Fraud,5289.85,5578.06,747782.5,115,25,0,59.0,5.311242,1.3127209999999998,150.9629,-18.1818438,156471.8588,113474.1679,0.0,15.0,29.0,82,202
118,Non - Fraud,3.71,0.0,11.13,3,2,0,1498.574154,1000.5,666.999528,2000.998585,0.001414909,0.0,0.0,0.0,0.0,0.0,4,3
119,Non - Fraud,8691.1,4980.4,32323.4,2,3,0,5.0,2.086115,3.128731,6.257462,0.00088263,3.579999999999999e-07,0.0,0.0,0.0,2.0,185,280
120,Non - Fraud,1270.97,335.2,168647.83,105,105,0,1.4995,1.000997,1.000157,105.0164707,0.08826282,0.026177472,0.026177472,0.0,1.0,1.0,190,309
121,Non - Fraud,0.0,1512.59,201174.15,0,133,1,0.362425,0.186939,0.0,0.0,24.86285972,0.6766384559999999,0.0,0.0,0.0,2.0,185,309
122,Non - Fraud,105.58,3.21,323.17,3,2,0,68.227874,50.5,33.666165,100.9984936,0.001506437,0.0,0.0,0.0,0.0,0.0,4,3
123,Fraud,525.97,91.97,6731.33,10,16,0,1.8,1.026256,0.622805,6.22804538,10.19204266,100.337,0.0,0.0,0.0,4.0,1,194
124,Non - Fraud,0.73,2876.68,11509.67,4,4,0,1.9673,0.92732,0.92648,3.705918682,0.00336,0.0,0.0,0.0,0.0,0.0,4,3
125,Fraud,0.0,3506.82,20619.98,1,2,0,0.1,0.1,0.199139,0.199139,0.0008609999999999,113.37,0.0,0.0,0.0,2.0,1,450
126,Non - Fraud,0.0,16063.69,112445.8,0,7,0,25.016337,11.166914,0.0,0.0,78.16840001,3294.486282,0.0,0.0,0.0,13.0,185,331
127,Non - Fraud,13.36,354.88,659012.85,1700,1793,0,539.162751,4.239846,4.471371,7601.330192,0.714021,0.0,0.0,0.0,0.0,0.0,4,3
128,Non - Fraud,145.22,8133.65,49528.0,5,6,0,0.054362,0.043159,0.051,0.255,0.003955566,0.0,0.0,0.0,0.0,0.0,4,3
129,Non - Fraud,163.66,0.3,327.92,2,2,0,53.599573,50.5,50.499508,100.9990158,0.000984218,0.0,0.0,0.0,0.0,0.0,4,3
130,Fraud,25349.87,9440.04,243000.12,4,15,0,0.01,0.003867,0.014381,0.057522724,0.000487276,100000.0,100000.0,0.0,1.0,4.0,198,28
131,Non - Fraud,90.17,4632.18,405491.32,79,86,0,36.0,5.653614,6.153849,486.1540929,0.056692047,0.0,0.0,0.0,0.0,0.0,4,3
132,Non - Fraud,3895.06,4182.1,245922.82,32,29,0,57.0,13.449114000000002,12.350112,395.2036,-5.17928057,829545.412,828554.0147,0.0,6.0,17.0,174,376
133,Non - Fraud,1449.95,556.53,520700.2,191,438,0,4.504509,0.696882,1.597554,305.132883,0.101450356,5336.862638000001,5258.500016,0.0,1.0,6.0,94,144
134,Fraud,1292.62,15.92,15591.0,12,5,0,16.651041,3.798673,1.6198629999999998,19.43836197,-0.44499853,31358.75008,31358.75008,0.0,2.0,4.0,275,135
135,Fraud,0.0,2.49,6449.1,1,23,0,30.0,3.397276,78.1365,78.13649999,0.00084,1e-12,0.0,0.0,0.0,1.0,-1,-1
136,Fraud,0.0,0.0,5634.98,1,1,0,15.0,15.0,14.999559,14.999559,0.000441,1e-12,0.0,0.0,0.0,1.0,-1,-1
137,Fraud,476.38,74.85,66399.25,110,187,0,12.26,0.182097,0.633405,69.67453408,-35.62248689,713750.9734,590136.5667,0.0,7.0,106.0,129,347
138,Fraud,1102.7,1539.22,273956.87,60,135,0,185.0,11.630049,26.167127,1570.027634,0.0290091,116.6361731,0.0,0.0,0.0,1.0,1,303
139,Non - Fraud,163.47,0.14,327.37,2,3,0,50.897156,33.666667,50.499487,100.9989738,0.001026218,0.0,0.0,0.0,0.0,0.0,4,3
140,Non - Fraud,26.2,2225.82,1110764.03,173,497,0,50.619429,0.586175,1.683325,291.2152855,0.1134862,0.0,0.0,0.0,0.0,0.0,4,3
141,Non - Fraud,45.17,1290.23,843756.35,513,636,0,4.0,0.8332350000000001,1.031778,529.3020569,0.635251734,20009.01,0.0,0.0,0.0,8.0,185,402
142,Non - Fraud,2.86,0.42,9.42,3,2,0,1439.532513,1000.5,666.999528,2000.998585,0.001414909,0.0,0.0,0.0,0.0,0.0,4,3
143,Non - Fraud,17974.53,2539.9,385084.78,21,3,0,15.079927,5.366642,0.771071,16.1925,-0.09257344,29929.2,46929.2,0.0,2.0,1.0,128,357
144,Fraud,0.0,110.94,334521.73,1,23,0,5.0,0.985556,22.666328,22.66632847,0.00147,2.245378911,0.0,0.0,0.0,5.0,1,194
145,Non - Fraud,0.0,4833.24,517157.15,0,107,1,1.5442049999999998,0.402959,0.0,0.0,43.11659415,4.011857633,0.0,0.0,0.0,6.0,185,119
146,Non - Fraud,5286.46,7933.14,367509.0,26,29,0,25.99,3.555778,3.964851,103.0861271,0.031442069,28218020.4,28207114.58,0.0,2.0,13.0,291,233
147,Fraud,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1e-12,0.0,0.0,0.0,1.0,-1,-1
148,Fraud,3976.5,834.77,9622.53,2,2,0,0.947515,0.766892,0.766346,1.53269261,0.001092,1.337,0.0,0.0,0.0,1.0,1,74
149,Non - Fraud,0.0,0.28,2828.18,0,9999,1,19999.99,24.973016,0.0,0.0,249705.1845,1.888888946,5.72e-08,0.0,1.0,4.0,260,384
150,Non - Fraud,158.33,0.0,316.65,2,1,0,101.0,101.0,50.499508,100.9990158,0.000984218,0.0,0.0,0.0,0.0,0.0,4,3
151,Non - Fraud,155.98,0.0,311.97,2,1,0,101.0,101.0,50.499508,100.9990158,0.000984218,0.0,0.0,0.0,0.0,0.0,4,3
152,Non - Fraud,0.0,0.0,9.42,1,1,0,0.34,0.34,0.33958,0.33958,0.00042,0.0,0.0,0.0,0.0,0.0,4,3
153,Fraud,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1e-12,0.0,0.0,0.0,1.0,-1,-1
154,Fraud,282.9,0.0,565.8,2,1,0,0.586842,0.586842,0.292153,0.584306797,0.002535563,54.30196,52.96496,0.0,1.0,2.0,98,74
155,Fraud,0.0,0.0,15919.1,1,1,0,0.027386,0.027386,0.026405,0.02640489,0.00098091,1e-12,0.0,0.0,0.0,1.0,-1,-1
156,Non - Fraud,1.56,0.0,4.67,3,2,0,1476.359502,1000.5,666.999528,2000.998585,0.001414909,0.0,0.0,0.0,0.0,0.0,4,3
157,Non - Fraud,34.61,0.0,103.82,3,1,0,101.0,101.0,33.666163,100.998488,0.001512,0.0,0.0,0.0,0.0,0.0,4,3
158,Fraud,63.51,4.33,135.67,2,2,0,0.5,0.4970000000000001,0.496517,0.993034,0.000966,1e-12,0.0,0.0,0.0,1.0,-1,-1
159,Non - Fraud,0.0,3168.19,19009.12,0,6,1,0.335184,0.176295,0.0,0.0,1.057769608,0.0,0.0,0.0,0.0,0.0,4,3
160,Non - Fraud,36.79,1612.27,883783.62,533,536,0,117.179506,1.66227,1.68018,895.535767,-4.559279749,15233.0,0.0,0.0,0.0,2.0,185,260
161,Non - Fraud,24.99,450.9,311232.87,654,654,0,0.6275229999999999,0.271742,0.271322,177.4443894,0.274701,0.0,0.0,0.0,0.0,0.0,4,3
162,Non - Fraud,24.47,0.45,74.32,3,2,0,68.483132,50.5,33.666160999999995,100.9984829,0.001517096,0.0,0.0,0.0,0.0,0.0,4,3
163,Fraud,1332.92,915.84,9493.82,3,6,0,2.191435,0.7901859999999999,1.579512,4.73853473,0.002583,1.337,0.0,0.0,0.0,1.0,1,74
164,Fraud,0.0,0.0,603.62,1,1,0,0.5,0.5,0.49,0.49,0.01,13.37,0.0,0.0,0.0,1.0,1,74
165,Non - Fraud,62.42,0.0,312.12,5,1,0,101.0,101.0,20.199504,100.9975187,0.002481262,0.0,0.0,0.0,0.0,0.0,4,3
166,Non - Fraud,6.37,34004.68,68022.1,2,2,0,210.522576,129.26128799999998,129.26058500000002,258.5211708,0.00140568,0.0,0.0,0.0,0.0,0.0,4,3
