,FLAG,Avg min between sent tnx,Avg min between received tnx,Time Diff between first and last (Mins),Sent tnx,Received Tnx,Number of Created Contracts,max value received ,avg val received,avg val sent,total Ether sent,total ether balance, ERC20 total Ether received, ERC20 total ether sent, ERC20 total Ether sent contract, ERC20 uniq sent addr, ERC20 uniq rec token name
38,Non - Fraud,0.0,2313.04,198921.02,0,86,1,1.005101,0.481405,0.0,0.0,41.40085147,1.091692598,0.0,0.0,0.0,2.0
39,Non - Fraud,164.23,0.82,330.08,2,2,0,97.478563,50.5,50.499487,100.9989738,0.001026218,0.0,0.0,0.0,0.0,0.0
40,Non - Fraud,48.35,3501.52,564285.68,156,159,0,22.287038,1.604949,1.635393,255.1213207,0.06552,0.0,0.0,0.0,0.0,0.0
41,Non - Fraud,13078.53,92761.77,953774.78,2,10,0,0.19846,0.067448,0.21555,0.4311,0.243381252,53.45897071,0.0,0.0,0.0,4.0
42,Non - Fraud,6757.46,1610.22,707906.55,49,234,0,1.001555,0.163169,0.778224,38.133,0.048580622,6683.96866,2232.31,0.0,4.0,10.0
43,Fraud,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Non - Fraud,16.37,201.15,467.77,4,2,0,56.51698100000001,50.5,25.249491,100.9979658,0.002034218,0.0,0.0,0.0,0.0,0.0
45,Non - Fraud,3.47,447.98,902.88,2,2,0,3.0,2.995,2.993534,5.98706815,0.00293185,0.0,0.0,0.0,0.0,0.0
46,Non - Fraud,0.0,0.0,438.95,1,1,0,8.274884,8.274884,8.274264,8.2742644,0.00062,0.0,0.0,0.0,0.0,0.0
47,Non - Fraud,0.0,0.0,360.4,1,1,0,0.639681,0.639681,0.639061,0.63906067,0.00062,0.0,0.0,0.0,0.0,0.0
48,Non - Fraud,0.0,0.0,20.93,1,1,0,2.39451,2.39451,2.394006,2.39400649,0.000504,0.0,0.0,0.0,0.0,0.0
49,Fraud,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,Non - Fraud,16.88,454.74,1694261.92,3498,3596,0,84.8,2.385517,2.451449,8575.16713,3.153583099,11061.26532,0.0,0.0,0.0,9.0
51,Fraud,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,13.37,0.0,0.0,0.0,1.0
52,Non - Fraud,0.0,0.0,12477.37,1,1,0,5.175,5.175,5.1729,5.1729,0.0021,0.0,0.0,0.0,0.0,0.0
53,Fraud,907.4,3009.54,15380.42,7,3,0,1.5,0.868592,0.371714,2.602,0.00377571,1.337,0.0,0.0,0.0,1.0
54,Non - Fraud,0.0,3117.86,215132.02,0,69,1,11.0,1.10898,0.0,0.0,76.51965031,1.287044,0.0,0.0,0.0,1.0
55,Non - Fraud,20.0,0.0,60.0,3,1,0,101.0,101.0,33.666149,100.998446,0.0015539999999999,0.0,0.0,0.0,0.0,0.0
56,Non - Fraud,4.74,0.42,15.07,3,2,0,1166.386575,1000.5,666.999528,2000.998585,0.001414909,0.0,0.0,0.0,0.0,0.0
57,Fraud,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,13.37,0.0,0.0,0.0,1.0
58,Fraud,0.0,0.0,11654.28,1,1,0,0.1,0.1,0.09916,0.09916,0.00084,0.0,0.0,0.0,0.0,0.0
59,Non - Fraud,0.0,0.0,13.72,1,1,0,0.5,0.5,0.49938,0.49938,0.00062,0.0,0.0,0.0,0.0,0.0
60,Non - Fraud,24206.86,8193.92,332576.7,9,14,0,10.91703,2.2226220000000003,3.567966,32.11169501,-0.994983488,834.4928928999999,0.0,0.0,0.0,8.0
61,Non - Fraud,105.16,0.0,315.47,3,1,0,101.0,101.0,33.66617100000001,100.9985118,0.001488218,0.0,0.0,0.0,0.0,0.0
62,Non - Fraud,2623.88,486.72,6221.2,2,2,0,87.44,45.005,45.004748,90.00949597,0.00050403,0.0,0.0,0.0,0.0,0.0
63,Non - Fraud,6.33,23301.63,116539.8,5,5,0,7.99,6.22,6.219399,31.096994,0.003006,0.0,0.0,0.0,0.0,0.0
64,Non - Fraud,0.0,10645.46,883573.28,0,83,0,3.010853,1.160579,0.0,0.0,96.32809722,4613.54825,0.0,0.0,0.0,14.0
65,Non - Fraud,165.72,0.0,331.43,2,2,0,66.313242,50.5,50.499487,100.9989738,0.001026218,0.0,0.0,0.0,0.0,0.0
66,Fraud,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,Non - Fraud,108.4,4480.93,541432.73,117,118,0,8.027599,1.774828,1.7893130000000002,209.349598,0.080158042,0.0,0.0,0.0,0.0,0.0
68,Non - Fraud,14.91,9914.87,287963.8,29,29,0,8.478365,2.233118,2.232349,64.73811194,0.022303721,0.0,0.0,0.0,0.0,0.0
69,Non - Fraud,7042.64,2694.86,80594.87,8,9,0,2.812069,0.8803690000000001,0.989884,7.91906848,0.00424956,140.40186090000003,140.1026874,0.0,1.0,2.0
70,Non - Fraud,0.0,2389.1,291470.43,0,122,1,0.519099,0.215652,0.0,0.0,26.30955478,2.877150036,0.0,0.0,0.0,4.0
71,Non - Fraud,2614.2,2118.86,532800.37,126,96,0,37.995,8.270401,6.4053330000000015,807.0719433999999,-13.11341292,1886994.946,1622129.2980000004,0.0,23.0,50.0
72,Non - Fraud,14.93,0.0,59.72,4,1,0,101.0,101.0,25.249475,100.9979,0.0021,0.0,0.0,0.0,0.0,0.0
73,Non - Fraud,0.0,0.0,93.08,1,1,0,0.39067,0.39067,0.390197,0.390197244,0.000473186,0.0,0.0,0.0,0.0,0.0
74,Non - Fraud,0.0,1714.65,198899.82,0,116,1,0.467149,0.210917,0.0,0.0,24.46637643,0.631143418,0.0,0.0,0.0,2.0
75,Non - Fraud,0.0,0.0,751.2,1,1,0,0.779718,0.779718,0.778718,0.77871755,0.001,0.0,0.0,0.0,0.0,0.0
76,Non - Fraud,680.21,12298.93,133872.58,16,10,0,5.1294330000000015,1.409803,0.880509,14.08813793,0.00989406,680.2589406000002,680.2589406000002,0.0,4.0,4.0
77,Non - Fraud,40.68,39.23,159.83,2,2,0,1.124849,0.612425,0.6105149999999999,1.22103095,0.00381838,0.0,0.0,0.0,0.0,0.0
78,Non - Fraud,0.0,28346.25,226769.97,0,8,1,11.359193,5.478752,0.0,0.0,43.83001981,0.010763447,0.0,0.0,0.0,1.0
79,Fraud,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,Non - Fraud,2.86,0.42,9.42,3,2,0,1438.927705,1000.5,666.999528,2000.998585,0.001414909,0.0,0.0,0.0,0.0,0.0
81,Fraud,0.0,9769.62,19539.25,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,Non - Fraud,4.09,0.0,12.27,3,2,0,1280.250213,1000.5,666.999528,2000.998585,0.001414909,0.0,0.0,0.0,0.0,0.0
83,Non - Fraud,0.0,0.0,1.63,1,1,0,0.103282,0.103282,0.1028099999999999,0.102810311,0.000471636,0.0,0.0,0.0,0.0,0.0
84,Fraud,0.0,25139.1,175973.67,0,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,Non - Fraud,19.43,0.0,58.28,3,1,0,101.0,101.0,33.666149,100.998446,0.0015539999999999,0.0,0.0,0.0,0.0,0.0
86,Non - Fraud,4.86,1316.63,1053227.97,797,797,0,0.982834,0.21158,0.211,168.1670931,0.462270985,1553031793.0,100.0,0.0,1.0,2.0
87,Non - Fraud,4381.86,12368.22,498897.87,32,29,0,45.551719,3.623648,3.376494,108.0478001,-2.962022477,16409.66046,15715.44341,0.0,2.0,11.0
88,Fraud,4.58,107.14,2701.45,5,25,0,10.0,1.254398,6.271105,31.35552467,0.004428,1.337,0.0,0.0,0.0,2.0
89,Non - Fraud,0.0,21793.39,130760.32,0,6,1,26.1222,8.1537,0.0,0.0,48.9222,2.871604183,0.0,0.0,0.0,1.0
90,Non - Fraud,3.24,2.22,325.22,99,2,0,5851.210294,5000.5,101.019693,10000.94956,0.050442,0.0,0.0,0.0,0.0,0.0
91,Fraud,2366.42,358.39,6883.17,2,6,0,6.0,1.579333,4.73779,9.47558,0.00042,15.0,0.0,0.0,0.0,1.0
92,Non - Fraud,0.0,1643.32,226778.2,0,138,1,0.352959,0.181946,0.0,0.0,25.10861175,0.6822674259999999,0.0,0.0,0.0,2.0
93,Non - Fraud,44.76,185.67,1053475.48,3269,4886,0,0.711329,0.117293,0.174921,571.8174644,1.275884926,90640.50966,0.0,0.0,0.0,15.0
94,Non - Fraud,0.0,892.75,1811.1,1,2,0,0.506261,0.290622,0.580802,0.580802,0.00044181,0.0,0.0,0.0,0.0,0.0
95,Non - Fraud,1640.14,4248.23,462412.32,212,27,0,55.0,7.980592999999999,1.4662879999999998,310.853,-95.377,66758193.71,66707362.03,0.0,11.0,28.0
96,Non - Fraud,12574.41,3628.85,149205.1,11,3,0,1.995,1.33,0.4516,4.967601185,-0.977601185,19043.11062,10154.89984,0.0,3.0,7.0
97,Non - Fraud,14.76,17045.2,102359.75,6,6,0,7.999559,5.350343,5.349342,32.09605219,0.006003072,0.0,0.0,0.0,0.0,0.0
98,Non - Fraud,0.0,91.06,910557.38,0,9999,1,0.1,2.4e-05,0.0,0.0,0.243389089,105.8888889,0.0,0.0,0.0,4.0
99,Non - Fraud,11.08,779.26,1580.68,2,2,0,3.640427,3.567713,3.567242,7.134483529,0.000943201,0.0,0.0,0.0,0.0,0.0
100,Non - Fraud,1897.47,3976.26,50966.1,8,9,0,20.802821,7.281382000000002,8.191041,65.52832623,0.004116,0.0,0.0,0.0,0.0,0.0
101,Non - Fraud,34.84,5361.18,16188.07,3,3,0,3.5,2.5,2.499498,7.498493152999999,0.001506847,0.0,0.0,0.0,0.0,0.0
102,Non - Fraud,163.56,0.6,328.32,2,2,0,61.399728,50.5,50.499508,100.9990158,0.000984218,0.0,0.0,0.0,0.0,0.0
103,Fraud,2748.41,131.98,13369.3,4,18,0,1.088808,0.568887,2.559507,10.23802682,0.001932,0.0,0.0,0.0,0.0,0.0
104,Non - Fraud,24.18,0.33,73.22,3,2,0,84.45213299999998,50.5,33.666149,100.998446,0.0015539999999999,0.0,0.0,0.0,0.0,0.0
105,Fraud,48672.1,126.38,99619.12,2,18,0,2.99,0.836866,7.530933,15.06186554,0.0017219999999999,1.337,100.0,0.0,1.0,3.0
106,Fraud,0.0,103.15,176924.27,1,2,0,2.99,1.74,3.477,3.477,0.003,13.37,0.0,0.0,0.0,1.0
107,Fraud,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,Fraud,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,Non - Fraud,7.02,1451.37,176465.8,121,121,0,1.687923,0.634642,0.633532,76.65737508,0.1343333,0.0,0.0,0.0,0.0,0.0
110,Non - Fraud,1.73,0.12,5.43,3,2,0,1902.479244,1000.5,666.999528,2000.998585,0.001414909,0.0,0.0,0.0,0.0,0.0
111,Non - Fraud,258.02,85934.21,259350.75,6,3,0,0.633474,0.393408,0.195992,1.17595333,0.00427067,0.0,0.0,0.0,0.0,0.0
112,Non - Fraud,301.06,607.86,991790.57,1138,1068,0,109.725818,1.7341240000000002,1.676711,1908.096737,-56.05239874,1116.63624,0.0,0.0,0.0,16.0
113,Non - Fraud,64.48,3959.78,1037551.0,247,258,0,1.070893,0.993116,1.036217,255.94568250000003,0.278209719,0.01,0.0,0.0,0.0,1.0
114,Non - Fraud,0.0,9577.42,201125.9,0,21,1,6.919405,1.208475,0.0,0.0,25.37797622,0.46460464,0.0,0.0,0.0,1.0
115,Non - Fraud,111.63,2714.36,643990.45,225,228,0,1.448235,0.456251,0.461915,103.9308205,0.094521,0.0,0.0,0.0,0.0,0.0
116,Non - Fraud,0.0,0.0,26722.77,1,1,0,5.095,5.095,5.094558999999999,5.094558999999999,0.000441,0.0,0.0,0.0,0.0,0.0
117,Non - Fraud,9.1,134026.7,268080.7,3,2,0,1.479434,0.789717,0.526088,1.5782639040000002,0.001170216,1109.0487449999996,1109.0487449999996,0.0,1.0,1.0
118,Non - Fraud,3895.06,4182.1,245922.82,32,29,0,57.0,13.449114000000002,12.350112,395.2036,-5.17928057,829545.412,828554.0147,0.0,6.0,17.0
119,Non - Fraud,11.25,636.88,1318.77,4,2,0,200.0,105.0,52.499507,209.998026,0.001974,0.0,0.0,0.0,0.0,0.0
120,Non - Fraud,125617.55,1116.7,637021.33,5,8,0,2.448692,2.09065,3.3436550000000005,16.71827386,0.0069279,2693.07185,0.0,0.0,0.0,11.0
121,Fraud,0.0,26579.93,132918.1,1,5,0,0.1,0.0892,0.44,0.44,0.006,2.274882414,0.0,0.0,0.0,2.0
122,Fraud,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,Non - Fraud,551.13,420.03,37375.12,48,26,0,3.709576,0.61351,0.331702,15.92170722,0.029562146,3906.701384,3906.598908,0.0,13.0,2.0
124,Non - Fraud,2116.23,11000.61,271640.75,14,22,0,80.0,29.072413,45.683616,639.5706246,0.022471274,0.0,0.0,0.0,0.0,0.0
125,Fraud,0.0,481.38,8183.52,0,17,0,4.069406,1.183064,0.0,0.0,20.11209179,1599.0,0.0,0.0,0.0,6.0
126,Non - Fraud,154.77,0.0,309.53,2,1,0,101.0,101.0,50.499508,100.9990158,0.000984218,0.0,0.0,0.0,0.0,0.0
127,Non - Fraud,163.78,0.82,329.18,2,2,0,99.155879,50.5,50.499487,100.9989738,0.001026218,0.0,0.0,0.0,0.0,0.0
128,Non - Fraud,162.42,0.0,324.83,2,1,0,101.0,101.0,50.499508,100.9990158,0.000984218,0.0,0.0,0.0,0.0,0.0
129,Non - Fraud,2608.49,8617.48,656417.75,27,68,0,1.001829,0.618764,1.557815,42.06100000000001,0.014921485,951.9234996,0.0,0.0,0.0,8.0
130,Non - Fraud,0.0,1563.89,226764.55,0,145,1,0.990691,0.366634,0.0,0.0,53.16195615,1.734470096,0.0,0.0,0.0,2.0
131,Non - Fraud,5.47,3681.97,276558.05,75,75,0,0.16816,0.115834,0.114566,8.59242739,0.095120293,1e-12,0.0,0.0,0.0,1.0
132,Non - Fraud,4446.65,87200.67,742071.85,10,8,0,0.4478140000000001,0.175894,0.140496,1.40495651,0.00219337,0.0,0.0,0.0,0.0,0.0
133,Non - Fraud,12801.15,104985.19,535151.08,9,4,0,0.049458,0.02838,0.011727,0.105547354,0.007971239,0.0,0.0,0.0,0.0,0.0
134,Non - Fraud,17171.6,11439.07,1024381.72,45,22,0,121.0,32.896731,15.831052,712.397338,11.33075076,679605.7616,520532.6758,0.0,13.0,46.0
135,Fraud,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.337,0.0,0.0,0.0,1.0
136,Fraud,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,Fraud,3.52,51.33,5962.12,221,101,0,64.019675,4.966275,2.891662,639.0573674999998,-137.4636322,327145.1972,324630.2987,0.0,3.0,67.0
138,Non - Fraud,21.56,0.0,64.68,3,1,0,101.0,101.0,33.666149,100.998446,0.0015539999999999,0.0,0.0,0.0,0.0,0.0
139,Non - Fraud,159.49,0.84,320.67,2,2,0,88.951595,50.5,50.499508,100.9990158,0.000984218,0.0,0.0,0.0,0.0,0.0
140,Non - Fraud,28.24,326.29,1157997.08,1745,3398,0,88.40649499999998,0.608916,1.187339,2071.906768,-2.809166975,3106060431.0,0.0,0.0,0.0,10.0
141,Non - Fraud,0.0,870.09,200119.98,0,230,1,2.238959,0.428419,0.0,0.0,98.53634941,2.197269521,0.0,0.0,0.0,2.0
142,Non - Fraud,33.84,6448.74,51860.67,8,8,0,6.860482000000001,2.730628,2.729825,21.83860201,0.006425768,0.0,0.0,0.0,0.0,0.0
143,Fraud,216.09,729.52,7213.98,3,9,0,0.8,0.2526989999999999,1.424333,4.273,-1.99870543,0.0,0.0,0.0,0.0,0.0
144,Non - Fraud,0.0,2636.82,226766.82,0,86,1,0.901869,0.513478,0.0,0.0,44.15911017,0.944263803,0.0,0.0,0.0,2.0
145,Non - Fraud,164.28,0.0,328.57,2,1,0,101.0,101.0,50.499508,100.9990158,0.000984218,0.0,0.0,0.0,0.0,0.0
146,Fraud,23488.73,33.36,48178.53,2,36,0,9.99,1.330052,24.190072,48.38014304,-0.498278,1.337,0.0,0.0,0.0,2.0
147,Non - Fraud,399.74,3543.68,41778.63,7,11,0,6.89,1.483379,2.330503,16.31352422,0.003646,0.0,0.0,0.0,0.0,0.0
148,Non - Fraud,5005.32,323.46,46665.18,9,5,0,321.0,96.554073,53.640612,482.7655107,0.004854288,0.0,0.0,0.0,0.0,0.0
149,Fraud,0.0,33.61,1359.9,1,8,0,7.6,1.544867,12.357889,12.3578894,0.00105,0.0,0.0,0.0,0.0,0.0
150,Non - Fraud,543.68,140802.81,379467.15,180,2,1,1.492,0.746,0.006572,1.183,0.309,525.3572781,0.0,0.0,0.0,8.0
151,Non - Fraud,2.94,5033.24,55397.95,11,11,0,18.3424,8.862119999999997,8.8617,97.47870273,0.00462,0.0,0.0,0.0,0.0,0.0
152,Non - Fraud,17.97,5478.29,16506.75,4,3,0,49.99,29.207977000000003,21.90551,87.62204131,0.001889014,0.0,0.0,0.0,0.0,0.0
153,Non - Fraud,0.0,1034.52,4138.08,0,4,1,1.98,0.997799,0.0,0.0,3.991197,0.0,0.0,0.0,0.0,0.0
154,Non - Fraud,10.07,971.71,1947768.85,1977,1984,0,77.127084,2.718987,2.72765,5392.564012,1.905622496,100.0,0.0,0.0,0.0,1.0
155,Non - Fraud,8.91,17315.64,69298.22,4,4,0,4.579008,2.700656,2.700054,10.80021472,0.002410131,0.0,0.0,0.0,0.0,0.0
156,Non - Fraud,2848.05,6870.16,986319.8,245,42,0,4.5,1.015199,0.212764,52.1272,-9.48884236,2143224.82,1373951.15,0.0,34.0,62.0
157,Non - Fraud,42547.79,72976.79,431669.3,5,3,0,12.49142,5.522174,3.312864,16.56431831,0.002205,125.5999683,0.0,0.0,0.0,3.0
158,Non - Fraud,1.32,9.61,32.78,3,3,0,435.268875,176.631773,176.631023,529.8930697,0.00225,0.0,0.0,0.0,0.0,0.0
159,Non - Fraud,24508.52,45544.37,283684.25,6,3,0,6.195,5.396667,3.664639,21.98783625,-5.797836247999999,1035.063725,250.0,0.0,1.0,9.0
160,Fraud,1272.16,1833.51,18634.02,6,6,0,1.093859,0.6715979999999999,0.671225,4.0273477,0.00224054,1e-11,0.0,0.0,0.0,1.0
161,Non - Fraud,0.0,6479.6,226785.9,0,35,1,1.002227,0.81363,0.0,0.0,28.47704215,1.2830169809999998,0.0,0.0,0.0,2.0
162,Non - Fraud,71.83,27.81,511631.95,5304,4698,0,7000.0,81.983698,214.505344,1137736.345,-752576.9329,1082.047004,0.0,0.0,0.0,4.0
163,Non - Fraud,2478.25,170542.42,879972.9,11,5,0,81.08796099999998,21.799122,9.899229,108.8915242,0.10408651,0.0,0.0,0.0,0.0,0.0
164,Non - Fraud,19899.33,0.97,39800.62,2,2,0,2.669396,1.335212,1.334771,2.669542,0.000882,0.201153153,0.0,0.0,0.0,1.0
165,Non - Fraud,158.07,0.84,317.83,2,2,0,80.804466,50.5,50.499508,100.9990158,0.000984218,0.0,0.0,0.0,0.0,0.0
166,Non - Fraud,18.8,0.28,75.75,4,2,0,67.54840899999999,50.5,25.249496,100.997984,0.002016,0.0,0.0,0.0,0.0,0.0
167,Non - Fraud,2076.13,1225.67,1085442.22,377,247,0,85.0,8.11266,5.353078,2018.11039,-14.28342554,4566994.757,2765497.8460000004,0.0,100.0,87.0
168,Fraud,948.9,1449.81,11993.57,5,5,0,10.676664,2.6543330000000003,2.6534,13.267,0.00466409,1.337,0.0,0.0,0.0,2.0
169,Non - Fraud,14.19,11.31,116583.18,1204,8796,0,16503.695,3.4470410000000005,16.224251000000002,19533.99818,10786.17705,6933.502191,908.5050334,0.0,1.0,23.0
170,Non - Fraud,2954.99,357.28,11008.67,3,6,0,2.399,1.0834469999999998,2.0,6.0,0.5006804,129.5859588,0.0,0.0,0.0,6.0
171,Non - Fraud,0.0,1778.16,184928.25,0,104,1,0.379456,0.100728,0.0,0.0,10.47570355,0.440669293,0.0,0.0,0.0,1.0
172,Non - Fraud,0.0,2096.75,291447.72,0,139,1,0.829081,0.297716,0.0,0.0,41.38255687,5.053325119,0.0,0.0,0.0,4.0
173,Non - Fraud,7.79,347.21,1065.02,3,3,0,4.33511,1.6183459999999998,1.617861,4.853582226,0.001455284,0.0,0.0,0.0,0.0,0.0
174,Non - Fraud,80791.4,0.0,242374.2,3,1,0,70.0,70.0,23.32,69.96,0.04,594904.1808,594000.0,0.0,1.0,8.0
175,Non - Fraud,0.0,0.0,262072.73,1,1,0,0.436528,0.436528,0.435028,0.43502837,0.0015,114.036816,0.0,0.0,0.0,4.0
176,Fraud,4239.43,3998.93,113653.47,7,21,0,5.001697,0.438856,1.3157370000000002,9.210159775,0.0058065,350.0541833000001,0.0,0.0,0.0,4.0
177,Non - Fraud,8.49,0.0,16.98,2,1,0,28.09,28.09,14.044496,28.088992,0.001008,0.0,0.0,0.0,0.0,0.0
178,Non - Fraud,58.7,384.0,127055.87,287,287,0,0.991156,0.225669,0.225249,64.64646239,0.120561,0.0,0.0,0.0,0.0,0.0
